Date,Open,High,Low,Close,Volume
30-08-19,1285.5500000,1297.6800000,1284.8500000,1293.3200000,822033818
02-09-19,1293.9000000,1310.6300000,1292.8600000,1309.2200000,675132893
03-09-19,1306.7600000,1307.2800000,1297.7400000,1303.4900000,1035093582
04-09-19,1315.8400000,1332.7300000,1315.8400000,1330.7700000,1026327540
05-09-19,1332.3600000,1344.7500000,1332.3600000,1337.9200000,939551697
06-09-19,1334.5700000,1342.5000000,1328.0200000,1340.5200000,645987418
09-09-19,1343.1600000,1349.9000000,1336.7300000,1340.1400000,460570555
10-09-19,1338.6500000,1343.9500000,1330.3800000,1343.9500000,709213646
11-09-19,1342.5500000,1358.6700000,1339.1100000,1354.6800000,734707337
12-09-19,1354.5600000,1364.7600000,1349.5900000,1361.0500000,876560496
13-09-19,1360.9700000,1370.7700000,1359.4600000,1368.9300000,640645503
16-09-19,1376.2100000,1396.2500000,1375.5700000,1396.0900000,1021018007
17-09-19,1393.3000000,1399.3600000,1374.4000000,1381.5000000,968849160
18-09-19,1379.6700000,1382.4700000,1375.2000000,1382.1600000,587792161
19-09-19,1382.2800000,1386.9900000,1373.1500000,1378.0600000,773134535
20-09-19,1376.2100000,1379.4100000,1368.4300000,1377.3800000,792778043
23-09-19,1374.3600000,1375.3200000,1363.6900000,1373.4900000,528621015
24-09-19,1374.4100000,1379.4200000,1355.8800000,1358.8000000,627293869
25-09-19,1352.9200000,1354.0100000,1340.1900000,1354.0100000,610254946
26-09-19,1353.3800000,1363.2000000,1350.0500000,1359.5900000,580936666
27-09-19,1360.2100000,1360.5800000,1347.6900000,1347.7200000,365568805
30-09-19,1344.1300000,1348.0200000,1331.9500000,1333.9100000,530491525
01-10-19,1335.6400000,1346.7000000,1328.8400000,1329.3700000,589195121
02-10-19,1330.8300000,1331.5000000,1311.0300000,1313.7500000,667768523
03-10-19,1313.9700000,1317.6600000,1300.4500000,1307.0100000,666172061
04-10-19,1309.7300000,1319.8800000,1309.1500000,1311.6500000,522985868
07-10-19,1313.9000000,1322.2600000,1305.0500000,1320.2500000,515642303
08-10-19,1319.1400000,1324.7600000,1303.6400000,1306.3900000,506644503
09-10-19,1306.8100000,1321.8300000,1306.2600000,1317.4800000,552830376
10-10-19,1315.2100000,1330.9200000,1310.3900000,1330.9200000,492411348
11-10-19,1330.9700000,1341.7000000,1328.4100000,1329.6300000,760382879
14-10-19,1329.3900000,1332.2800000,1319.3100000,1321.1300000,568559032
15-10-19,1321.2400000,1331.7800000,1318.3500000,1331.0300000,659370180
16-10-19,1331.1000000,1348.1800000,1329.7300000,1347.4300000,887336399
17-10-19,1349.2400000,1356.2900000,1346.7600000,1353.4900000,705185921
18-10-19,1350.0500000,1358.6300000,1349.1500000,1355.2700000,584552547
21-10-19,1362.6300000,1369.0600000,1358.1700000,1365.1400000,678500852
22-10-19,1367.6200000,1387.6800000,1366.7300000,1387.6800000,870110579
23-10-19,1382.8300000,1392.4700000,1377.9600000,1392.4700000,957539068
24-10-19,1390.5400000,1413.6300000,1390.5400000,1413.6300000,1178677938
25-10-19,1413.6900000,1423.1400000,1402.5600000,1421.2000000,1202273450
28-10-19,1420.3100000,1432.2600000,1408.9700000,1411.9200000,1136694608
29-10-19,1412.4500000,1424.0500000,1405.0000000,1424.0500000,1095853537
30-10-19,1419.8100000,1437.0100000,1416.4300000,1431.9000000,1140505980
31-10-19,1439.2100000,1451.2600000,1417.4900000,1422.9200000,1172168638
01-11-19,1423.0000000,1455.4400000,1419.9100000,1455.4400000,883009915
05-11-19,1465.4500000,1473.7400000,1454.9800000,1460.5000000,920447153
06-11-19,1463.4600000,1471.3800000,1453.0300000,1471.3800000,873429766
07-11-19,1466.5800000,1487.8200000,1463.2900000,1487.0300000,1039045510
08-11-19,1485.9200000,1485.9200000,1457.3900000,1468.1700000,803161972
11-11-19,1464.0000000,1466.1200000,1455.7900000,1460.8400000,818015921
12-11-19,1461.3700000,1471.1900000,1447.8300000,1449.3500000,978320303
13-11-19,1441.4900000,1443.1900000,1430.9100000,1437.8500000,889672593
